,Tweets,polarity
0,Sign up for Profectus Systems and beat the market $INTC $WDC $STX $SPY $QQQ $DIA $SPX $VIX $XIV $SVXY $UVXY $DGAZ $UGAZ $PEP $KO $HD,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
1,"$CAG, $MF, $GILD, $PLD, $IYR, $INTC, $SPY breaking down to new lows https://t.co/QwuvEYCya1","{'neg': 0.13, 'neu': 0.87, 'pos': 0.0, 'compound': -0.2023}"
2,these are the most active stocks right now $AAPL  $F  $AMD  $DIDI  $INTC  $VICI  $NIO https://t.co/jwkns3F73I,"{'neg': 0.0, 'neu': 0.834, 'pos': 0.166, 'compound': 0.4576}"
3,"Ex-#Dividenden-Termine KW17 - Highlights:
🇺🇸: $AAPL $WMT $INTC $WFC $TXN $STZ $AMP $GWW $DHI $LAZ $MAIN $SJW
🇨🇦: Ca… https://t.co/BL9s69NoS9","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
4,"~When I was novice I made a lot of mistakes then I came to know about this C0mmunity.,,.,https://t.co/UijPhsrts2… https://t.co/i5YMgFocVb","{'neg': 0.152, 'neu': 0.848, 'pos': 0.0, 'compound': -0.3612}"
5,"$SPY $QQQ $INTC just got a buy signal, Inverse Cramer is always on point. Intel also wrote a cool paper about AI in… https://t.co/CuTfx3sn4v","{'neg': 0.0, 'neu': 0.901, 'pos': 0.099, 'compound': 0.3182}"
6,Need Fast Computer? ABS Legend #Gaming PC - Intel $INTC i9 10900KF - ASUS ROG STRIX GeForce RTX 3090 OC 24G… https://t.co/E4U2YS8UVf,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
7,"Omg Intel is going to double $intc - MINIMUM 

The only semiconductor stock Jim Cramer DIDN'T UPGRADE? Are you kidd… https://t.co/DuDksTe4Fo","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
8,Bear Mkt Rally on Draft Day then Mkt👎 $AARK $AMZN $NFLX $ZM $INTC $QQQ $CRM $AMD $PYPL $F $GM $SPY $AAPL $SMH $NVDA… https://t.co/ZAQ7SgobRi,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
9,"@TaiwanSemiHoe @petenajarian @Wayne_Razzi @ryanmastro5 @MarketRebels Nope, just on my watch list and with $INTC ear… https://t.co/fe33UJQugd","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
10,"RT @RBsDividends: Made small buys today, DCA into many positions
$SBUX, $JPM, $VZ, $WBA, $BAC, $HD, $INTC, $MMM, $DE, $MSFT, $LOW","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
11,SweepCast 🦍 Unusual Options Observed : $INTC with our scanner on $45 CALL Expiring: 01/19/2024 worth 36K🐂  Start Yo… https://t.co/CAIW0NZTQa,"{'neg': 0.0, 'neu': 0.899, 'pos': 0.101, 'compound': 0.2263}"
12,$intc     Another day of gains at BullTrades. 🔗  https://t.co/FNoo7RqiNx,"{'neg': 0.0, 'neu': 0.745, 'pos': 0.255, 'compound': 0.34}"
13,@DvdndDiplomats $BX $INTC and $VZ,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
14,"~When I was novice I made a lot of mistakes then I came to know about this C0mmunity.,,.,https://t.co/UijPhsrts2… https://t.co/ZNi3TK2CAy","{'neg': 0.152, 'neu': 0.848, 'pos': 0.0, 'compound': -0.3612}"
15,@HeyRhettBarrett @FreshFedPaper @faststocknewss $INTC is still on the PC business 😬,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
16,Short sale volume (not short interest) for $MRVL on 2022-04-29 is 48%. https://t.co/jiGm0eyVQo $QCOM 54% $INTC 58%,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
17,"$PYPL $HAL $CLF $SCHW $XOM $GOOGL $JNJ $AAL $CL $SNAP $BK $T $SOFI $TWTR $UPS $LMT $F $INTC $NUE $UPST $BA
 DAILY L… https://t.co/kzvKinlzZp","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
18,"Great Investment Guys 
$abbv $appl $amzn $ba $brk $bhc $cmg $dis $f $ge $hlf $iep $jnj $ko $ibm $pep $ms $gs $wfc… https://t.co/Qa4B8SnaJE","{'neg': 0.0, 'neu': 0.843, 'pos': 0.157, 'compound': 0.6249}"
19,$QQQ $BLNK $INTC $NFLX $BABA $BTC.X $MU $MOMO $TSN $FEYS $CAKE $SPAQ $KODK $QCOM $DOW $GOOGL $DOW $TDOC $AAL… https://t.co/86b77cfyG1,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
20,RT @UPBOptionMil: Largest stock option open interest changes -- $KMX $QCOM $AAPL $FB $ROLU $INTC $MRO $BTU $GE $TWTR https://t.co/QQOBuNGlGS,"{'neg': 0.0, 'neu': 0.864, 'pos': 0.136, 'compound': 0.4588}"
21,RT @UPBOptionMil: Todays most active stock options $AAPL $BBIG $TSLA $FB $INTC $F https://t.co/hfRenPURJh,"{'neg': 0.0, 'neu': 0.813, 'pos': 0.187, 'compound': 0.4576}"
22,$intc    Another winning alert based on our custom ThinkorSwim script.  🔗  https://t.co/m3nX8F4IRb,"{'neg': 0.0, 'neu': 0.616, 'pos': 0.384, 'compound': 0.6808}"
23,"$AMZN Gets Crushed 
$abbv $appl $amzn $ba $brk $bhc $cmg $dis $f $ge $hlf $iep $jnj $ko $ibm $pep $ms $gs $wfc $jpm… https://t.co/2OY5mGegSt","{'neg': 0.109, 'neu': 0.891, 'pos': 0.0, 'compound': -0.4215}"
24,"~When I was novice I made a lot of mistakes then I came to know about this C0mmunity.,,.,https://t.co/UijPhsrts2… https://t.co/hgTPe2k3Uy","{'neg': 0.152, 'neu': 0.848, 'pos': 0.0, 'compound': -0.3612}"
25,"RT @SelectOptions: BLOCK 25000 $INTC 07/15/22 $40 puts for $1.33 

Spot: $44.00
Volume: 25,587
OI: 4,994
IV: 36.85%
Premium: $3.3m
Sector:…","{'neg': 0.154, 'neu': 0.846, 'pos': 0.0, 'compound': -0.5622}"
26,"2022/04/30 12:01:16
ダウ30種 2/3：YTD
$KO +9.79%
$JNJ +5.88%
$IBM -1.64%
$HON -5.91%
$MCD -6.71%
$INTC -17.46%
$MMM -18… https://t.co/KpEFy7HAMP","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
27,"2022/04/30 12:01:07
半導体：YTD
$TXN -10.09%
$ADI -12.43%
$AVGO -15.86%
$INTC -17.46%
$QCOM -24.67%
$TSM -27.50%
$MU -2… https://t.co/F0FVj52ZI1","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
28,"RT @4ki4: インテルCEO「半導体不足、24年まで」　1～3月7%減収: 日本経済新聞
https://t.co/FjWj2XRnxf…

米インテル、第2四半期見通しが市場予想下回る　供給網懸念で | Reuters
https://t.co/2UlnYIa3KU…","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
29,"$PYPL $HAL $CLF $SCHW $XOM $GOOGL $JNJ $AAL $CL $SNAP $BK $T $SOFI $TWTR $UPS $LMT $F $INTC $NUE $UPST $BA
 DAILY L… https://t.co/hRmMuAHaIh","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
30,"$SOXL Direxion Daily Semiconductor Bull 
組入上位10銘柄@ MAR 31, ‘22

🥇 $NVDA 8.9%
🥈 $AVGO 8.5%
🥉 $AMD 7.0%
 4 $INTC 6.1%… https://t.co/3RgEquIf26","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
31,$COST $MCD $WMT $FB $VIX  $BA $AMD $INTC $JNJ $MGM $SBUX $SPY $NFLX $FB $COST $MIST $AMZN $INUV… https://t.co/cMknUkJKSO,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
32,RT @davidsettle42: 04/29/22 - View today's #MarketOutlook from @MarketScholars here: https://t.co/z3hZCFVRcm Discussed: $SPY $IWM $EEM $EFA…,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
33,"@irbezek @soloprosperity @talbottzink I like this framework, there are a lot of big hits. 

Banks/homebuilders in 0… https://t.co/TTsAVEMyMv","{'neg': 0.0, 'neu': 0.857, 'pos': 0.143, 'compound': 0.3612}"
34,"RT @vnkumarvnk: Weekly #earnings prediction review! 

$MSFT ✅
$GOOGL ❌
$V ✅
$CMG ❌
$UPS ✅
$BA ✅
$FB ❌
$PYPL ❌
$SPOT ✅
$QCOM ✅
$TDOC ✅
$PINS…","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
35,@Dividend_Engine @SteveWagsInvest I took today’s #dividend earnings from $MO $BCSF $GLAD $NLY and bought $INTC. It’… https://t.co/fcUNlozvlL,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
36,RT @davidsettle42: 04/29/22 - View today's #MarketOutlook from @MarketScholars here: https://t.co/z3hZCFVRcm Discussed: $SPY $IWM $EEM $EFA…,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
37,"@intel anticipates industry to witness supply shortages until 2024, in areas like foundry capacity and tool availab… https://t.co/lXnAoOVEFV","{'neg': 0.08, 'neu': 0.796, 'pos': 0.124, 'compound': 0.2263}"
38,"RT @yan_blog: ✅米国10年債利回り 2.938↗️
✅ドル/円 129.85
✅3指数 ↘️🟥 ダウ-4.2% NAS-2.8%
✅原油WTI ↘️ 天然ガス↗️
🔖 $AMZN -14% $AAPL -3.7%
🔖全面的に↘️（大型テック、半導体、エネルギー、海…","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
39,"Intel had a strong Q1 2022, beating on both the top and bottom line estimates.

🎯  Intel Foundry Services +175%
🎯… https://t.co/84wRA3E7Xz","{'neg': 0.12, 'neu': 0.677, 'pos': 0.203, 'compound': 0.2732}"
40,"~When I was novice I made a lot of mistakes then I came to know about this C0mmunity.,,.,https://t.co/UijPhsrts2… https://t.co/GIZjs35fmu","{'neg': 0.152, 'neu': 0.848, 'pos': 0.0, 'compound': -0.3612}"
41,"RT @IFB_podcast: A $INTC (Intel) Deep Dive

Founded in 1968 by Gordon Moore, along with the creation of Moore's law, Intel has survived and…","{'neg': 0.0, 'neu': 0.795, 'pos': 0.205, 'compound': 0.6597}"
42,@VolumePrintcess $INTC  closed below pandemic lows on confirmed lower guidance! 😳 Look out below!,"{'neg': 0.294, 'neu': 0.706, 'pos': 0.0, 'compound': -0.555}"
43,"Weekly #earnings prediction review! 

$MSFT ✅
$GOOGL ❌
$V ✅
$CMG ❌
$UPS ✅
$BA ✅
$FB ❌
$PYPL ❌
$SPOT ✅
$QCOM ✅
$TDOC… https://t.co/IA5TggBU7l","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
44,"#OptionsTrading at the close. Interesting to see where the bets were for today (0 DTE) and into next week. 

$AAPL… https://t.co/wi7hc6fi9N","{'neg': 0.0, 'neu': 0.881, 'pos': 0.119, 'compound': 0.4019}"
45,"$COST $MCD $WMT $FB $VIX  $BA $AMD $INTC $JNJ $MGM 

 https://t.co/gn2wxQ5555 https://t.co/cBXcN4b22y","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
46,RT @davidsettle42: 04/29/22 - View today's #MarketOutlook from @MarketScholars here: https://t.co/z3hZCFVRcm Discussed: $SPY $IWM $EEM $EFA…,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
